way_id,coordinates
348,"105.5849138,21.0141518;105.5837068,21.0143171;105.5832267,21.0144122;105.5830067,21.01455;105.582878,21.0146651;105.5824692,21.0149652;105.5821618,21.0151909;105.5816093,21.0156441;105.5815815,21.0157243;105.5815476,21.0158219;105.5814752,21.0165004;105.5814589,21.0166634;105.581435,21.0169035;105.5814671,21.0174568;105.581384,21.0177773;105.5813206,21.0179223;105.5812802,21.0180146;105.5812147,21.0181643;105.5811989,21.0182005;105.5810916,21.0184909;105.5812633,21.0187763;105.5817202,21.0192855;105.5817891,21.0193622;105.5819714,21.01955;105.5822018,21.0197659;105.5823855,21.0199137;105.5825444,21.0200338;105.5826873,21.0201309;105.5828003,21.0201961;105.5829427,21.0202833;105.5830082,21.0203215;105.5832106,21.0204638;105.5834359,21.0207192;105.5835539,21.0211198;105.5836612,21.0215254;105.5836451,21.0218609;105.5836719,21.0223967;105.5837363,21.0229074;105.5837918,21.0230629;105.5838597,21.0232529;105.5842835,21.0234883;105.584659,21.0235634;105.5847745,21.0236508;105.5849701,21.0237987;105.5853456,21.0242794;105.5853987,21.02433;105.585587,21.0245048;105.5858499,21.0245949;105.5860765,21.0246225;105.5867726,21.0247702;105.5869611,21.0248905;105.5871803,21.0250305;105.5873651,21.0252375;105.5887336,21.0257949"
349,"105.6426908,20.9916788;105.6429648,20.9921542;105.6430855,20.9924672;105.6431236,20.9925246;105.6433425,20.9927055;105.6439165,20.993273;105.643936,20.9932887;105.6439724,20.993318;105.6448016,20.9941479;105.644951,20.9943703;105.6452635,20.994746;105.6457522,20.9952105;105.6456976,20.9953499;105.6453421,20.9961562;105.6453279,20.9962347;105.6453279,20.9963223;105.6453574,20.9965014;105.6454306,20.9966859;105.6457819,20.9972894;105.6459845,20.9975673;105.6460159,20.9975963;105.6460534,20.9976182;105.6462599,20.997682;105.6464383,20.9978073;105.6466176,20.9980193;105.6468998,20.998628;105.6470063,20.9988117;105.6474884,20.9997354"
350,"105.6440747,21.0353055;105.6442104,21.035348;105.6453717,21.0354812;105.6459103,21.0355486;105.6463676,21.0356195;105.6469061,21.0356883;105.6481646,21.0358659;105.6505384,21.0361908;105.6513994,21.0362945;105.6524049,21.0364062;105.6531504,21.0364875;105.6533343,21.0365092;105.6535805,21.0365434;105.6538741,21.0365619;105.6540236,21.0365869;105.6541181,21.036575;105.6541685,21.0366782;105.6541973,21.0367133;105.6542248,21.0367515;105.6542717,21.0368216;105.6544031,21.0370388;105.6544796,21.0371552;105.6546661,21.0373939;105.654748,21.0375451;105.6547997,21.0377073;105.654882,21.0380896;105.6550736,21.0386274;105.6551711,21.0388587;105.6555448,21.0397332;105.6556206,21.0397935;105.6557334,21.0398525;105.6565138,21.0391898;105.6569753,21.0387674;105.6574005,21.0384031;105.6579288,21.0379213;105.6580717,21.0378073;105.6581615,21.0377691;105.6582434,21.0377572;105.6583071,21.0377629;105.6583573,21.0377742;105.6584519,21.0378323;105.6585471,21.0378849;105.6589905,21.038286;105.6592298,21.0385362;105.6595999,21.0388449;105.6598785,21.0390492"
351,"105.6915391,20.9423755;105.691722,20.9415059;105.6916791,20.9411351;105.6917349,20.9406546;105.6918454,20.9399778;105.6920085,20.9397527;105.6923872,20.9394016;105.692929,20.9391511;105.6930922,20.9390564;105.6933929,20.9387051;105.693723,20.9383194;105.6937571,20.9383086;105.6938485,20.9382797;105.6942562,20.93836;105.6944749,20.9393544"
352,"105.7533361,20.8853994;105.753314,20.8853908;105.7529966,20.8853423;105.7526016,20.8853207;105.7522151,20.8853152;105.7514065,20.8853038;105.750902,20.8852967;105.7501159,20.8853449;105.7496217,20.885423;105.7489518,20.8855353;105.7480828,20.8857834;105.7474572,20.8860372;105.7474293,20.8860485;105.7463303,20.8864943;105.7463092,20.8865028;105.7437644,20.8875351;105.7430778,20.8877356;105.7415981,20.8875144;105.7410929,20.8874208;105.7409435,20.8874165;105.740932,20.8874148;105.7399781,20.887134;105.739342,20.8870315;105.7391824,20.8869876"
353,"105.7988827,21.0756695;105.7987802,21.0757007;105.7975064,21.0761939;105.7961365,21.0767396"
354,"105.7915176,21.0788625;105.7917624,21.0787671;105.7918533,21.0787348;105.7920541,21.0785789;105.7921359,21.0785153;105.7922563,21.0784146;105.7927166,21.0780717;105.793035,21.0778902;105.7931626,21.0778175;105.7932901,21.0777513;105.7936201,21.0775964;105.7943546,21.0773143;105.7946737,21.0771906"
355,"105.7922167,21.0785965;105.7921448,21.0786604;105.7917989,21.0789676;105.7915502,21.0791598"
356,"105.791469,21.0792175;105.7912531,21.0796676;105.791236,21.0797119;105.7912258,21.0797351;105.7912144,21.0797609;105.7911046,21.0800107;105.7909799,21.0805133;105.7909657,21.0805945;105.7909544,21.0807426;105.7909906,21.0807652"
357,"105.7907926,21.0807516;105.7908225,21.0806582;105.7908762,21.0805017;105.7909416,21.0802164;105.7909818,21.080075;105.7910905,21.0797027;105.7911142,21.0795492;105.7911455,21.0793264;105.7911582,21.0790733"
358,"105.7954666,21.0896613;105.794283,21.0900804;105.7941549,21.0901179;105.7939733,21.0901499;105.7938047,21.0901668;105.7936067,21.0901697;105.79262,21.0901859;105.7916629,21.0901955;105.7915369,21.0902004;105.7913945,21.0902206;105.7900667,21.0904992;105.7898145,21.0905537;105.7890345,21.0907144;105.7882583,21.0908788;105.7880225,21.0909433;105.787862,21.0909926;105.7876967,21.0910236;105.7875598,21.0910375;105.7872759,21.0910471;105.7871255,21.0910644;105.7869716,21.0910893;105.7867486,21.0911462;105.7865759,21.0912;105.7864863,21.0912311;105.7864026,21.0912701;105.7862317,21.091343;105.7861354,21.0913813;105.7860131,21.0914317;105.7859001,21.0914593;105.7857849,21.0914784"
359,"105.7881674,21.0811935;105.7880005,21.0811451;105.7878899,21.0810958;105.7877629,21.081057;105.7876533,21.0810322;105.7875182,21.0810108;105.7872772,21.0809977;105.7868372,21.080994;105.7867014,21.0809993;105.7865133,21.0810066;105.7863872,21.0810135;105.786263,21.0810393;105.7861332,21.0810802;105.786024,21.0811173;105.7859394,21.081157;105.7856722,21.0812715;105.7854953,21.0813574;105.7854096,21.0814114;105.785345,21.0814534;105.7852838,21.0815086"
360,"105.8568546,21.0314209;105.85726,21.0315916;105.857788,21.0318201;105.8578463,21.0318528;105.857932,21.0318919;105.8583561,21.0320441"
361,"105.857192,21.0242217;105.8572389,21.0242533;105.8572719,21.0242977;105.8572872,21.0243499;105.8572914,21.0243892;105.8572739,21.024442;105.8572477,21.0244784"
362,"105.8555118,21.0325231;105.8554428,21.0326516;105.8551465,21.0331672;105.8548017,21.0337705;105.8547676,21.0338265"
363,"105.9366443,21.0384211;105.9356587,21.0370963;105.9348976,21.036062;105.9345095,21.0355169;105.9342667,21.035176;105.9338731,21.0345884;105.9334259,21.0339162;105.93297,21.0331663;105.932146,21.031686;105.931235,21.0298797;105.930745,21.0287708;105.9300833,21.0272479"
364,"105.89531,21.0249915;105.8954023,21.0251459;105.8960272,21.0261912"
365,"105.8985419,21.0260782;105.8992508,21.0257644;105.9004524,21.0252035;105.9024095,21.0242745;105.9039532,21.0235471;105.9040693,21.0234906;105.9041508,21.023451;105.905114,21.0229739;105.9052656,21.0228869"
366,"105.9053622,21.0230047;105.9054463,21.0231232;105.905641,21.0233206;105.9059099,21.0235515;105.9061408,21.0237419;105.9063506,21.0239149;105.9068842,21.024334;105.9069552,21.0243879;105.9070192,21.0244367;105.9071353,21.0245255;105.9074591,21.0247697;105.9075938,21.0248441;105.9076619,21.0248818;105.9077189,21.0249133;105.9078772,21.0250008;105.9079677,21.0250508;105.9079724,21.0250534;105.9080287,21.0250862;105.9081053,21.0251288;105.9084177,21.0253059;105.9086909,21.0254456;105.9086993,21.0254499;105.9088116,21.0255093;105.9088826,21.0255469;105.9089428,21.0255847;105.9090416,21.0256469;105.9091222,21.0256888;105.909162,21.0257095;105.9092975,21.0257859;105.9093297,21.0258041;105.9094234,21.0258615;105.9094725,21.0258901;105.9095826,21.0259594;105.9096357,21.0259914;105.909658,21.0260076;105.9096773,21.0260215;105.9097726,21.0260788;105.9098048,21.0261001;105.9098112,21.0261043;105.9098234,21.0261112;105.9100317,21.0262417;105.9100746,21.0262742;105.9101779,21.0263418;105.9103263,21.0264407;105.9107041,21.0267405;105.9108186,21.0268602;105.9110254,21.0270638;105.9111092,21.0271723;105.9112248,21.0273235;105.9112572,21.027367;105.9113655,21.0275122;105.9114804,21.0277167;105.911618,21.0279616;105.9118102,21.0283037;105.9118777,21.0284239;105.9121365,21.0287484;105.9123595,21.0289809;105.9125405,21.0291467;105.9126405,21.0292383;105.9127959,21.0293907;105.9130125,21.0296032;105.9130478,21.0296379;105.9131509,21.0297284;105.9131655,21.0297394"
367,"105.9417127,21.0452887;105.9366443,21.0384211"
368,"105.8633719,21.012922;105.8633164,21.0129557;105.863284,21.0129901;105.8632439,21.0130353;105.8632086,21.0130714;105.8631055,21.0131818;105.8630633,21.0132492;105.8630035,21.01336;105.862959,21.0134644"
369,"105.9002253,21.0317352;105.9001417,21.0316372;105.9000449,21.0315164;105.8997617,21.0311848;105.8995294,21.0309181;105.8994234,21.0307951;105.8982534,21.0294356;105.8977407,21.0288591;105.8976053,21.0287068;105.8974764,21.0285484;105.8970427,21.0280202"
370,"105.8962785,21.0270583;105.8962125,21.0269621;105.8960462,21.0266676;105.8952765,21.0253694"
371,"105.87975,21.0330592;105.8794626,21.0324424;105.8794042,21.0322696;105.8793711,21.0321144;105.8793679,21.0320041"
372,"105.9022489,21.0361193;105.9024972,21.0369878"
373,"105.8963942,21.027225;105.8962976,21.0272527;105.896156,21.0272936;105.8959281,21.0273491;105.8958885,21.0273597;105.895576,21.0274389;105.895422,21.0274778;105.8951867,21.0275372;105.8949519,21.0275965;105.8942049,21.0277893"
374,"105.8982024,21.0290842;105.8995771,21.0306719;105.8996885,21.0308019;105.9002041,21.0313953;105.9003163,21.0315207;105.9003939,21.0316172;105.9005189,21.0317689;105.9008906,21.0323368;105.9011371,21.0327324;105.9011585,21.0327729;105.9013392,21.0331141"
375,"105.839006,21.0332405;105.8390246,21.0333763;105.8390656,21.0336678;105.8390939,21.0338707;105.8393422,21.0356346;105.8393521,21.0357047;105.8394061,21.0360883;105.8394228,21.0362074"
376,"105.7704437,21.0894244;105.7708047,21.0894553"
377,"105.8357958,21.0427052;105.8358318,21.042672;105.8358836,21.0426388;105.8359956,21.0425826;105.8360752,21.0425223;105.8361557,21.0424149;105.8362091,21.0423169;105.8362254,21.0422047;105.8362196,21.0420649;105.8361842,21.0417672;105.8361675,21.0416685"
378,"105.7788572,21.1502838;105.7787865,21.148528;105.7783385,21.1387199"
379,"105.7802534,21.1786667;105.7802881,21.18009;105.7803708,21.181789;105.7804463,21.1837988;105.7805192,21.1856054;105.7805641,21.1867194;105.7805735,21.1869865;105.7805807,21.1871929"
380,"105.7800389,21.1787337;105.7800334,21.1786092"
381,"105.7802494,21.1785597;105.7802534,21.1786667"
382,"105.8972646,21.0472444;105.8974448,21.0470288;105.8990919,21.0450583;105.8992236,21.0449367;105.8995085,21.0447203;105.900849,21.0437022;105.9013774,21.0433008;105.9019076,21.0428981;105.9023955,21.0425275;105.9026047,21.0423564;105.902849,21.0421565;105.9031077,21.0419449;105.9031959,21.0418727;105.9033073,21.0417816;105.9037523,21.0414513;105.9042002,21.0411189;105.9046026,21.0408202;105.9046871,21.0407575"
383,"105.8161075,21.0411127;105.8160351,21.0408675;105.8159255,21.0404962;105.8154153,21.0388419;105.8153594,21.0386608;105.8152592,21.0383481;105.8151441,21.0379425;105.8150405,21.0375771;105.8149478,21.0373191;105.8149064,21.0372027"
384,"105.8172488,21.0448176;105.817169,21.0445358;105.8170454,21.0441433;105.8169613,21.0438761;105.8169321,21.0437835;105.8168195,21.0434258"
385,"105.7051294,20.924341;105.7050442,20.9242704;105.7050073,20.9242398;105.7048833,20.9241769;105.7047334,20.9241219;105.7041954,20.923964;105.7037046,20.9238302;105.7031293,20.9235545;105.7029884,20.9234869;105.7024493,20.9227278;105.7023836,20.9225562;105.7019638,20.9214601;105.7019342,20.9213931;105.701746,20.9209664;105.7015052,20.9204204;105.7014563,20.9203006;105.7007491,20.9196757;105.7007168,20.9196616;105.7006759,20.9196541;105.7004634,20.9196396;105.7004302,20.9196438"
386,"105.6610191,20.8680196;105.6600599,20.8684835;105.6594495,20.8686673;105.6593942,20.8686797;105.6577165,20.8690246;105.6574131,20.8690871;105.6571948,20.8691073;105.6553919,20.8685006;105.6553286,20.8684778;105.6527031,20.8692683;105.6520402,20.8694838;105.6508884,20.8694707;105.6498412,20.8694289;105.6495992,20.8696931;105.6487289,20.8707434;105.6484691,20.8711603;105.6482668,20.8714534;105.6478483,20.8729119;105.6473181,20.8742831;105.6472912,20.8743415;105.6472215,20.8743395;105.6471652,20.8743031;105.6464947,20.8737167;105.6462623,20.8735214;105.6460682,20.8733583;105.6458429,20.8732355;105.6456058,20.8731354;105.6452474,20.8729949;105.6450704,20.8728997;105.6449283,20.8727869;105.6445551,20.8724673;105.6443268,20.8722718;105.6439918,20.8720202;105.6435007,20.8716605;105.6432018,20.8714399;105.6420525,20.8706481;105.6419918,20.8701788;105.6418186,20.8688388;105.6418201,20.8686827;105.6415887,20.8678003;105.6414906,20.8674259;105.6412694,20.8665823;105.6400211,20.8646379;105.6399522,20.8645292;105.6380832,20.8613914;105.6375307,20.8604639;105.6370072,20.8593046;105.6369806,20.8592456;105.6360569,20.8571411;105.6360171,20.8570505;105.6359739,20.8569467"
387,"105.6712794,20.874558;105.6712362,20.8745191;105.6711914,20.8744717"
388,"105.6920621,20.9230802;105.6936639,20.9219607;105.6948048,20.9211633;105.6949567,20.9210722;105.6963596,20.9207026;105.6972164,20.9204777;105.6977739,20.9203297;105.6981193,20.920226;105.6990176,20.9199835;105.6999223,20.9197233;105.6999889,20.9196909;105.7003041,20.9196586;105.7004302,20.9196438"
389,"105.789353,21.0227944;105.7889601,21.0225172;105.7883944,21.0221229;105.7878164,21.0217233;105.7874601,21.0214716;105.7872487,21.0213248;105.7870326,21.0211698;105.7864854,21.0207771;105.7862243,21.0205946;105.7861613,21.0205472;105.7859035,21.0203534;105.7858191,21.0202919;105.7856934,21.0202049"
390,"105.7900982,21.0233037;105.7900402,21.0234001;105.7898796,21.0236688;105.7898732,21.0236795;105.7898572,21.0237062;105.7898454,21.0237262;105.7896358,21.024076;105.7894006,21.0244689;105.789358,21.024535;105.7892664,21.0246773;105.7891765,21.0248366;105.7883944,21.0261117;105.7883152,21.0262422;105.7882527,21.026357;105.7880629,21.0266832;105.7878317,21.0270764;105.787753,21.0272221"
391,"105.813773,20.9988321;105.813518,20.9986744;105.8131373,20.9984265;105.8127755,20.9981908;105.8118054,20.9975542;105.8114379,20.9973022;105.8113574,20.9972441;105.8111655,20.9971152;105.8110187,20.997021;105.8107714,20.9968604;105.8103832,20.9966109"
392,"105.7959188,21.0076968;105.7960086,21.007764;105.7963874,21.0080548;105.7967908,21.0083543;105.796923,21.0084602;105.7974411,21.0088313;105.7981269,21.0093354;105.7987337,21.0097962;105.7991778,21.0101338"
393,"105.8004539,20.9946717;105.8005771,20.9945077;105.8008304,20.9941877;105.8012212,20.9937013;105.8013651,20.993514;105.80147,20.993388;105.8016301,20.9932596"
394,"105.828928,20.9691493;105.8287116,20.9692318;105.8286484,20.9692633;105.8282894,20.9694545;105.8280519,20.9695774"
395,"105.8856802,20.9762141;105.8852473,20.9757994;105.884819,20.97548;105.8842867,20.9750964;105.8841724,20.9750387;105.883692,20.9747929;105.8834995,20.9746771;105.8833793,20.9746016;105.883098,20.9744209;105.8828345,20.9742314;105.8825904,20.9740576;105.8820724,20.9736459;105.8819037,20.9735093;105.8815985,20.9732274;105.8814779,20.9731037;105.8811832,20.9728014"
396,"105.6256293,20.9842495;105.6254385,20.9836876;105.6254186,20.9836291;105.6253843,20.9835618;105.6253144,20.9834243;105.6250158,20.9831338;105.6248496,20.9829721;105.6244587,20.982457;105.6242589,20.9822401;105.6242415,20.9822228;105.6234799,20.9814644;105.6226273,20.9806943;105.6225606,20.9806341;105.621417,20.9797996;105.6213879,20.9797784;105.6211229,20.9795716;105.6207972,20.9793222;105.6206278,20.9791478;105.6204888,20.9789227;105.620352,20.9786347;105.6201565,20.9781785;105.6201022,20.9778682;105.6200262,20.9764062;105.6200087,20.976274;105.6199415,20.9757654;105.619925,20.9754877;105.619922,20.9754369;105.6199545,20.9752605;105.6199371,20.9750577;105.6198317,20.9748308;105.6197774,20.9747128;105.6196505,20.9744372;105.6195748,20.9743069;105.6194941,20.9742141;105.6192921,20.9739684;105.6191065,20.9737268;105.6189524,20.9735476;105.6187326,20.9734596;105.6182195,20.973329;105.6178705,20.9729843;105.6178191,20.9729442;105.6172168,20.9722799;105.6171574,20.9722086;105.6167095,20.9720972;105.615919,20.9719006;105.6155924,20.971805;105.6152019,20.9717223;105.6147924,20.9716205;105.614247,20.9715126;105.6134248,20.97135;105.6133111,20.971308;105.613118,20.9712129;105.6129497,20.9711085;105.6126619,20.9708824;105.612574,20.9707952;105.6124121,20.9705909;105.6123982,20.9705608;105.612343,20.9704436;105.6122992,20.9703572;105.6121646,20.9700458;105.6121556,20.9700112;105.6121167,20.9699257;105.6120864,20.9698572;105.6117791,20.9695619;105.6115869,20.9694081;105.6114119,20.9692559;105.6114048,20.9692283;105.6112606,20.9690585;105.6110648,20.96876;105.6108328,20.9685319;105.6107312,20.9683414;105.6107125,20.9682866;105.6107096,20.9682783;105.6106789,20.9681886;105.6106765,20.9681441;105.6106705,20.9680331;105.610678,20.9679655;105.6106766,20.967777;105.6106791,20.967435;105.610631,20.967171;105.610614,20.9671125;105.6105339,20.9669019;105.610475,20.9667475;105.6104574,20.9667088;105.6103125,20.966482;105.610278,20.9664215;105.6102458,20.9663613;105.6101846,20.9661826;105.6100779,20.9659001;105.6100265,20.9656984;105.6100037,20.9655328;105.6099733,20.9653381;105.6099727,20.9652177;105.6099721,20.9651194;105.6099785,20.964995;105.6099928,20.964827;105.6099972,20.9646546;105.6098416,20.9644205;105.6096589,20.9642277;105.6094347,20.9639935;105.6092345,20.9638455;105.6089935,20.9636633;105.6085852,20.9633178;105.6080991,20.9630059;105.6077386,20.9628923;105.6073803,20.9627625;105.6071516,20.9626267;105.6069149,20.9623631;105.6065694,20.9619435;105.6062453,20.9615788;105.6061123,20.9613896;105.6060657,20.9612781;105.606049,20.961183;105.6060555,20.9610847;105.6060998,20.9608921;105.6061633,20.9606776;105.6061743,20.9605454;105.6061598,20.9604534;105.6059945,20.959845;105.6058656,20.9594283;105.6058068,20.9593106;105.6057399,20.9592062;105.6054088,20.9588563;105.6052353,20.9586729;105.6050344,20.9584763;105.6048893,20.958348"
397,"105.7838219,21.028201;105.7837059,21.0282181;105.7834947,21.0282485;105.783394,21.0282648;105.7831076,21.0283026;105.7827844,21.0283484;105.7825438,21.0283843;105.7814104,21.0285463;105.7812242,21.0285711;105.7810001,21.0286052"
398,"105.7875571,21.0271432;105.7876909,21.0270002;105.7881336,21.026296;105.7881985,21.0261786;105.7882734,21.0260451;105.7890604,21.0247717;105.7891513,21.0246083;105.7892432,21.0244643;105.7895858,21.0238822;105.7897296,21.0236605;105.7897548,21.0236184;105.7897833,21.0235688"
399,"105.7877202,21.0277769;105.7876873,21.0278915;105.7876452,21.0280201;105.7876198,21.0280911;105.7876167,21.0281341;105.7878595,21.029137;105.7880676,21.029956"
400,"105.7900713,21.0230922;105.7901765,21.0231713;105.7902377,21.023216;105.7904977,21.0234101;105.7905797,21.0234711"
401,"105.7813532,21.0171704;105.7803451,21.0164442;105.7800552,21.0162329;105.7798675,21.0160997;105.778795,21.0153279;105.7786845,21.0152483;105.7781549,21.0148669;105.7775124,21.0144043;105.7773068,21.0142567;105.7770802,21.0140929;105.7768845,21.013952;105.7758657,21.0132216;105.7756495,21.0130626;105.7754752,21.0129406"
402,"105.7737377,21.004903;105.773755,21.0050146;105.7737607,21.005064;105.7737653,21.0051042;105.7737797,21.0051955;105.773863,21.0057251;105.7740116,21.0066181;105.7741559,21.007545;105.7741616,21.0078702;105.7741451,21.0080871;105.7741021,21.0083523;105.7740972,21.0083826;105.7740673,21.008497;105.7740287,21.008613;105.7740034,21.0086887;105.7739569,21.0087894"
403,"105.767593,21.0261645;105.7675109,21.0261359;105.767442,21.0260855;105.7673926,21.026018;105.7673771,21.0259663;105.7673659,21.0259291;105.7673732,21.0258371;105.7673955,21.0257814"
404,"105.7678786,21.0260656;105.7679133,21.0262746;105.7683034,21.0274662;105.7683088,21.0274831;105.7683754,21.0276591;105.7684145,21.0277913"
405,"105.7926225,21.0191739;105.7925745,21.0192513;105.7916715,21.0207087;105.7912241,21.0214191;105.7911157,21.0216057;105.7910078,21.0218027;105.790918,21.0219666;105.7907074,21.0223285;105.7906266,21.0224588;105.7904367,21.0227589"
406,"105.7911933,21.0049552;105.7911078,21.0048769;105.7909644,21.0047526;105.7906689,21.0045321;105.7894834,21.0037129"
407,"105.7899422,21.003019;105.7899986,21.003093;105.7900368,21.0031766;105.7900567,21.0032914;105.7900426,21.0034069;105.7899955,21.0035146;105.789919,21.0036064;105.7898187,21.0036754;105.7897022,21.0037165;105.7895926,21.0037271;105.7894834,21.0037129"
408,"105.8079345,20.9946567;105.8082397,20.9948709;105.8092455,20.9955508"
409,"105.7881855,21.0788672;105.7882101,21.0788238;105.7884295,21.0784555;105.7885959,21.0783105;105.7893813,21.0779809;105.7900699,21.0776874;105.7902136,21.0776303;105.7904153,21.0775412;105.7910138,21.077297;105.7915485,21.0770926;105.7918586,21.0769693;105.7919757,21.0769219;105.792214,21.0768387;105.7922979,21.0768051;105.7926096,21.0766833;105.7930516,21.0765153;105.793274,21.0764268;105.7934524,21.0763619;105.7935283,21.0763341;105.7935791,21.0763136;105.7936869,21.0762697;105.7938133,21.0762182;105.7942002,21.0760603;105.7943945,21.0759892;105.7945494,21.07593;105.795225,21.0756801;105.7955717,21.0755534;105.7982213,21.0745221;105.7983571,21.0744695;105.7984355,21.0744388;105.7984644,21.0744277;105.7984855,21.0744191;105.7989157,21.0742492;105.7994834,21.0740413;105.7998608,21.0738971"
410,"105.7883295,21.0664321;105.7882264,21.0665155;105.7880233,21.0666749;105.786919,21.0675506;105.7868171,21.0676314;105.7861985,21.068122;105.7859534,21.0683318"
411,"105.8467587,20.8589891;105.8468607,20.8588952;105.8470032,20.8587165;105.8470917,20.8585737;105.8471985,20.8583349;105.8473787,20.8579145;105.8475311,20.8575329;105.847625,20.8572196;105.8476925,20.8569696;105.8477216,20.856781;105.8477434,20.8564708;105.8477431,20.8561895;105.8477243,20.8559989;105.8476898,20.8556512;105.8476331,20.8553247;105.8471818,20.8541861;105.8471654,20.8541485;105.8471346,20.8540288;105.8471239,20.8539367;105.8471223,20.8538316;105.8471086,20.8529466;105.8471078,20.8528915;105.8470783,20.8527687;105.8470699,20.8527519;105.8470403,20.8526928;105.8467453,20.8523821;105.8466491,20.8522549;105.8466089,20.8521371;105.8465499,20.8518864;105.8465401,20.851829;105.8465012,20.8516025;105.8463348,20.8505157;105.8462571,20.8500084;105.8462786,20.8497477;105.8464563,20.8494592;105.8467399,20.8489456;105.8473086,20.8483139;105.8473595,20.8482399;105.8474183,20.8481546;105.8477163,20.8477224;105.8484436,20.8470551;105.8488857,20.8466495;105.848998,20.8465278;105.8493578,20.8461382;105.8497762,20.8457472"
412,"105.8497762,20.8457472;105.8504628,20.8452559;105.8510422,20.8448849;105.8515572,20.8446041;105.8519005,20.8443936;105.8519938,20.8443129;105.8524726,20.8438985;105.8524799,20.8438922;105.8531987,20.8429598;105.8534991,20.8423381;105.8537673,20.841566;105.8541643,20.8404831;105.8541593,20.8403387;105.8541214,20.8400419;105.8539678,20.8397907;105.8533489,20.8387786;105.8527441,20.837732"
413,"105.9107608,20.6962184;105.910211,20.696095"
414,"105.8654026,20.6816546;105.8654385,20.681374;105.8654877,20.6809893;105.8654939,20.6809411;105.8657514,20.6803388;105.8657598,20.680265;105.8662031,20.676352;105.8662342,20.675919;105.8664799,20.6727757;105.8666517,20.6705786;105.8666643,20.6704256;105.866713,20.6698322;105.866749,20.6693935;105.8668087,20.6686664;105.8668887,20.6677713;105.8671216,20.6652512;105.8671411,20.6650564;105.867157,20.6649731;105.8671933,20.6647023;105.8672349,20.6644246;105.8672981,20.6640803;105.8673477,20.663756;105.8674168,20.6634217;105.8674686,20.6630925;105.8675206,20.6627532;105.867528,20.662663;105.8675914,20.6618285;105.8675771,20.6616106;105.86757,20.6615022;105.8674573,20.661161;105.8673852,20.6609851;105.8672596,20.6606965;105.8671191,20.6603739;105.8671091,20.6603541;105.8668238,20.6597745;105.8667519,20.6596451;105.8667494,20.6596135;105.8667467,20.6595793;105.8667736,20.6595288;105.8668166,20.6594884;105.8669051,20.6593673;105.8669372,20.6592894;105.8671252,20.6588383;105.8671739,20.6587136;105.8676796,20.657514"
415,"105.8369963,21.0349504;105.8370108,21.0349774;105.8370217,21.0350248;105.8370191,21.0350618;105.8370071,21.0350971;105.8369865,21.0351288;105.8369487,21.0351616;105.836902,21.0351819;105.8368508,21.0351879;105.8368001,21.0351789;105.8367548,21.0351557;105.836719,21.0351203;105.8366968,21.0350762;105.8366904,21.0350279;105.8367003,21.0349801;105.8367257,21.0349375;105.8367556,21.0349101;105.8367918,21.0348905;105.8368322,21.03488;105.8368848,21.0348807;105.8369345,21.0348967;105.8369763,21.0349265;105.8369963,21.0349504"
416,"105.8689961,21.2118497;105.8692051,21.2119334;105.8696741,21.2121262;105.8707768,21.2126177;105.8727068,21.2136212;105.874632,21.2146575;105.8759899,21.2152595;105.877142,21.2156608;105.8785488,21.2160777;105.8792362,21.2162357;105.8800467,21.2164012;105.8806866,21.2164916;105.8815007,21.2165962;105.8824684,21.2166626;105.8827858,21.2166814;105.883826,21.2166997;105.8842724,21.2166743;105.8854216,21.2165952"
417,"105.8480862,21.2109499;105.8491074,21.2111145;105.8502951,21.2112375"
418,"105.9181539,21.0125523;105.9191167,21.0138635;105.9199892,21.0150493;105.9205642,21.015782;105.9210618,21.0163624"
419,"105.9155755,21.014836;105.9157279,21.0146114;105.9157545,21.0145154;105.9158265,21.0143034;105.9158776,21.0140501;105.9158984,21.013807;105.9159149,21.0132981;105.9159192,21.0132094;105.9159476,21.0126267;105.9160475,21.0119627;105.9161069,21.0114531;105.9161069,21.0109288;105.9160315,21.0105448;105.9159029,21.0102052;105.9158096,21.0100454;105.9157689,21.0099721;105.9157347,21.0099172;105.9154894,21.0095659;105.9151809,21.0091998;105.9151396,21.0091528;105.9148751,21.0088522;105.9148302,21.0088011;105.9147514,21.0087115;105.9143535,21.0082084;105.913914,21.0076989;105.913703,21.0075619;105.9134636,21.0074733;105.9131193,21.0074462"
420,"105.9255603,21.0200863;105.9258221,21.0202882"
421,"105.9257873,21.0204831;105.9255156,21.0202766"
422,"105.9255156,21.0202766;105.9252345,21.0200639;105.9228815,21.0182924;105.9224564,21.0179452"
423,"105.9211413,21.0167171;105.9209207,21.0164769"
424,"105.9212817,21.0166018;105.9221047,21.017399;105.9225771,21.017812;105.9230023,21.0181591;105.9241289,21.0190074"
425,"105.9210618,21.0163624;105.9212817,21.0166018"
426,"105.927258,21.0216024;105.9276551,21.0220865;105.927981,21.0224653;105.9283292,21.0229935;105.9287091,21.0236727;105.9290189,21.0243181;105.9293574,21.025085"
